Blog	four	looking	second	here	music	until	example	want	feature	wrong	easier	series	re	wasn	service	needed	project	came	than	best	men	asked	chrome	much	life	worked	things	had	easy	possible	right	old	people	o	support	call	happy	inside	time	leave	team	love	working	awesome	such	data	years	course	didn	internet	million	quite	city	future	san	say	saw	note	take	ways	going	where	sites	screen	many	wants	photos	technology	being	around	world	power	favorite	image	her	gone	am	original	tv	th	large	small	past	hours	social	action	via	company	learn	sense	huge	its	always	found	really	research	major	sell	self	also	play	sometimes	set	see	currently	available	last	whole	community	read	recent	person	couple	d	anything	into	link	line	posted	us	ago	having	code	results	young	try	video	let	great	makes	tools	next	high	process	move	doing	could	system	face	fact	should	hope	means	stuff	edition	email	co	off	less	web	five	become	software	problem	worth	red	above	told	word	work	interview	after	order	office	then	them	network	created	another	do	away	terms	com	air	voice	hand	photo	thanks	night	comments	post	months	way	war	true	update	together	global	change	usually	market	live	car	write	product	remember	still	half	now	year	space	shows	online	america	only	between	article	comes	these	media	thinking	real	early	business	aren	start	lot	trying	building	since	month	very	family	put	almost	site	history	help	actually	android	event	issue	ask	launch	american	mobile	latest	pretty	during	x	close	won	probably	both	else	look	while	ready	used	user	game	popular	step	within	computer	doesn	happens	youtube	go	does	facebook	download	started	control	links	including	him	front	keep	exactly	need	able	based	she	state	party	well	page	twitter	home	he	friends	using	companies	likely	even	ever	never	tell	give	before	better	weeks	went	side	open	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	down	digital	weekend	daily	finally	did	run	making	may	maybe	talk	nbsp	group	interesting	thing	think	first	long	little	anyone	were	performance	especially	show	behind	get	reading	morning	enough	across	similar	according	among	those	different	same	money	images	e	videos	general	again	important	u	starting	public	search	two	share	needs	coming	through	good	button	everyone	house	hard	idea	done	least	part	built	click	build	most	find	giant	common	please	point	simple	simply	understand	talking	fun	itself	yesterday	spent	big	bit	google	often	back	either	forward	single	giving	others	bunch	ll	age	day	announced	ipad	text	national	taking	value	center	thought	add	works	buy	j	special	under	every	school	street	changes	would	phone	must	me	times	end	over	writing	each	driving	got	free	days	already	top	too	tool	took	though	watch	amazon	report	full	however	news	experience	several	everything	head	hear	check	no	cool	says	goes	iphone	today	continue	local	information	happened	name	turn	place	white	released	any	ideas	sure	later	come	case	myself	someone	html	week	without	model	seems	blog	there	program	far	list	design	version	known	rather	short	might	number	man	expect	friday	feel	story	store	kind	added	nothing	his	hit	art	recently	attention	question	called	users	helping	once	issues	apple	heart	app	use	few	women	getting	something	six	instead	looks	our	york	which	who	why	view	stories	job	april	perhaps	gets	other	smart	know	press	because	lead	create	own	apps	made	whether	book
Boing Boing	2	0	1	5	0	2	0	1	0	0	0	2	1	0	3	0	0	0	2	3	0	0	0	0	1	0	1	1	0	0	1	1	2	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0	1	9	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	2	1	0	2	1	0	3	5	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	2	0	0	1	0	2	0	0	0	1	0	0	0	1	0	25	1	0	0	0	0	2	0	0	0	4	0	0	1	0	0	2	1	0	0	0	3	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	3	1	1	4	1	0	1	2	0	1	1	0	0	3	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	0	1	1	0	4	0	0	0	2	2	0	0	0	0	1	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	1	1	0	3	0	1	0	1	0	0	0	0	1	0	2	3	0	1	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	1	0	0	0	0	6	8	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	1	2	0	4	0	1	1	0	1	0	0	1	0	0	2	0	2	0	0	0	2	2	3	1	0	0	3	1	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	3	1	0	0	0	1	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	3	0	1	0	1	1	0	0	0	0	0	0	1	0	0	2	1	2	0	0	0	0	0	0	1	0	0	0	1	2	2	2	0	0	0	0	1	1	1	1	0	0	2	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	3	0	1	0	0	0	0	1	2	1	1	0	3	0	0	3	0	6	0	2	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	3	2	0	1	0	1	0	0	3	0	0	0	0	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	2	0	0	1	7	0	4	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	3
flagrantdisregard	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	5	0	2	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	3	0	0	0	5	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0
Pharyngula	0	0	0	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1
Steve Pavlina's Personal Development Blog	0	0	0	0	0	0	1	2	0	0	1	0	2	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	1	0	1	2	2	0	0	0	0	1	3	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	9	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	2	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	2	0	2	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	2	0	0	1	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	4	0	0	1	0	0	0	0	0	0	2	0	4	3	0	0	0	0	3	0	0	3	0	6	0	1	0	0	1	0	0	0	0
WIL WHEATON dot NET	0	4	3	3	2	2	0	11	0	0	0	1	10	3	0	0	14	3	10	5	0	0	0	9	9	1	7	9	0	1	3	0	14	1	1	0	1	0	12	3	1	5	11	4	1	0	3	1	1	3	1	2	1	0	1	4	3	0	4	0	13	5	0	1	0	1	0	0	6	4	4	0	1	0	8	0	5	0	3	4	0	0	0	6	0	0	1	0	1	2	1	3	2	0	19	0	1	1	0	5	0	1	0	6	0	3	15	0	0	1	0	0	1	8	3	10	0	0	1	8	2	3	0	0	0	2	1	6	6	2	0	7	0	1	0	10	7	0	6	1	3	3	1	6	0	0	1	7	3	1	0	1	0	1	0	0	1	2	0	11	0	4	1	1	5	5	8	0	0	18	4	0	2	2	1	3	0	1	3	0	3	0	14	0	0	0	0	0	0	2	0	3	1	2	0	1	2	2	11	1	0	3	1	0	5	0	0	0	2	0	1	2	1	0	2	0	8	2	0	0	2	6	1	3	1	0	2	2	0	0	1	0	0	0	1	0	1	6	0	1	0	5	5	1	0	3	1	0	0	0	4	0	0	0	0	6	3	0	11	3	0	0	0	3	0	0	2	2	2	3	2	1	1	7	0	0	4	0	1	6	9	1	0	0	2	14	5	0	0	3	10	3	3	3	0	1	0	2	0	1	1	0	16	30	1	1	0	9	3	0	3	1	10	0	0	1	0	6	0	2	0	0	3	3	3	4	1	3	3	0	0	4	11	5	5	2	0	8	2	0	29	0	24	3	3	4	0	1	0	0	4	1	3	0	0	0	0	0	5	7	0	1	0	0	4	1	0	2	2	7	3	4	2	1	0	4	2	3	0	0	0	6	1	0	0	1	1	1	1	0	2	6	3	6	1	4	2	0	2	7	0	3	0	1	1	0	13	0	5	0	0	0	0	0	0	2	0	0	2	0	0	3	1	1	0	0	0	8	0	0	30	2	2	8	3	1	0	5	2	4	1	0	6	0	3	5	5	0	0	1	0	1	2	2	5	2	1	0	1	0	1	2	0	2	0	1	0	1	1	2	1	1	1	4	0	3	0	5	1	2	3	0	2	5	0	1	2	9	0	1	0	0	0	1	0	0	0	2	2	0	1	13	2	0	4	0	3	7	1	0	0	3	0	2	0	0	0	2	0	0	0	2	2	0	4	9	0	1	0	9	5	5	8	7	0	1	1	2	0	1	5	0	23	8	23	2	0	8	0	2	1	1
Online Marketing Report	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Creating Passionate Users	0	0	0	1	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	4	0	0	0	0	2	1	2	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	0	0	0	2	0	0	0	0	1	0	0	0	0	2	1	0	1	0	1	0	0	0	1	0	0	0	5	3	0	1	0	0	5	0	1	0	0	1	0	0	0	1	0	1	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0
Bloggers Blog	0	0	0	0	1	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	3	0	0	0	0	0	0	2	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Joystiq RSS Feed	1	1	0	0	0	3	0	2	0	0	0	3	0	0	0	0	1	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	11	0	0	1	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	1	0	0	0	0	3	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	1	0	0	0	1	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	6	0	2	0	1	1	1	0	0	1	0	0	0	2	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	4	0	3	4	1	0	0	0	0	0	0	0	2	0	0	0	0	12	0	0	5	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	1	1	1	0	1	0	1	0	2	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	1	0	0	1	2	1	0	0	1	0	0	1	1	0	0	0	0	0	0	2	3	2	0	2	2	0	2	0	0	0	0	2	1	0	0	1	1	2	3	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	2	0	1	4	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	10	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
Derek Powazek	0	1	0	6	0	0	0	1	0	1	0	0	7	1	0	0	0	1	2	1	0	0	0	1	5	1	1	3	2	1	4	2	2	0	0	1	4	0	4	0	0	1	0	1	0	0	5	1	1	1	0	0	0	0	2	3	0	0	1	1	4	0	0	0	1	0	2	0	0	1	3	0	0	0	9	2	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	4	1	2	0	0	0	1	2	0	0	0	3	0	1	7	0	3	0	0	0	4	2	1	4	2	0	1	4	2	0	0	0	0	1	0	1	5	0	0	1	1	1	0	1	1	0	1	0	1	2	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	3	3	0	4	0	0	7	2	1	0	3	7	1	0	1	0	0	1	0	0	2	0	3	2	0	0	1	1	1	0	1	0	0	2	1	3	1	0	4	0	10	4	0	0	2	0	1	4	0	1	2	2	1	0	1	1	0	0	1	0	0	1	0	1	1	1	1	2	0	0	0	0	0	8	1	0	0	0	0	0	0	0	1	0	1	2	1	0	1	0	1	0	0	0	0	0	0	0	1	1	4	0	0	1	2	0	0	0	2	0	0	1	1	1	0	7	0	0	2	1	1	0	5	2	1	0	0	1	1	3	0	0	1	0	2	3	0	1	1	0	1	0	0	1	4	12	0	3	1	3	1	0	4	0	1	1	0	1	1	2	1	0	0	0	4	0	0	0	1	3	0	0	0	4	4	3	1	7	0	2	0	2	3	0	6	4	2	5	0	0	0	0	1	0	3	3	0	0	0	0	2	0	0	0	0	0	9	1	0	1	1	1	0	1	0	3	0	1	0	2	0	0	0	2	1	0	0	0	0	1	1	0	1	0	2	0	3	1	0	0	2	2	0	1	1	0	0	0	4	0	2	1	0	0	0	1	0	0	1	0	0	1	0	2	1	3	0	1	0	0	0	1	15	1	0	5	2	1	0	1	0	4	1	2	2	0	3	0	1	0	0	1	0	1	0	0	2	0	0	0	2	2	0	2	0	2	4	0	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	0	3	0	0	0	1	7	0	0	0	1	0	0	0	1	1	1	1	0	2	5	3	0	1	0	0	3	1	0	0	0	0	0	0	0	2	2	0	0	0	0	5	0	2	8	2	0	0	3	0	2	1	1	0	1	1	0	0	2	3	0	6	0	3	0	2	2	0	2	0	6
Download Squad	1	2	1	9	9	3	0	7	13	3	3	1	33	0	8	0	6	3	8	6	0	1	14	6	1	2	2	4	4	1	10	0	4	9	21	6	0	0	19	1	4	1	3	1	5	1	4	4	0	8	0	3	0	2	1	3	1	1	6	3	6	8	4	6	6	0	0	2	10	7	2	7	1	5	0	0	0	2	1	4	1	3	2	0	2	3	3	2	1	0	0	31	2	2	3	0	1	0	0	35	1	0	11	51	3	23	6	4	1	4	2	0	1	3	3	16	1	3	0	5	1	3	8	2	0	2	8	2	2	1	0	11	0	5	1	1	4	8	0	2	11	1	3	2	1	46	0	4	1	21	2	0	6	0	3	0	3	1	1	6	0	20	1	5	6	9	1	1	2	13	4	43	7	1	1	1	0	4	0	42	4	12	7	0	0	8	1	2	5	0	9	16	0	0	0	0	19	4	67	5	2	2	1	0	13	2	0	2	8	0	2	4	4	1	2	3	6	1	0	8	8	5	0	0	4	2	1	4	4	25	0	2	1	5	1	13	5	2	4	7	0	2	8	4	4	4	14	4	1	9	1	1	3	1	4	4	0	8	7	5	8	62	3	2	0	5	1	1	3	4	3	7	6	0	0	2	13	11	2	1	0	3	16	0	1	13	4	2	0	0	11	3	2	0	1	4	3	3	14	3	1	4	4	1	0	2	0	1	3	41	4	3	11	6	0	3	11	5	0	0	2	9	1	4	3	11	1	0	160	0	8	1	1	10	3	6	5	4	4	2	2	2	16	6	0	3	4	0	0	0	8	2	3	0	10	2	3	2	2	6	1	1	2	13	7	2	3	3	7	2	4	1	1	2	2	4	4	2	7	6	11	10	4	1	0	41	3	1	7	0	0	1	2	0	0	1	8	36	0	5	3	2	2	1	1	0	8	0	2	1	14	2	0	0	1	2	2	11	5	2	0	1	3	2	0	0	5	7	3	2	1	2	0	18	0	1	0	3	7	4	8	6	7	6	0	15	1	4	1	2	5	3	4	2	1	6	0	13	8	0	1	1	7	7	6	2	1	0	4	1	1	0	13	12	0	6	4	1	1	1	3	13	7	4	0	2	2	13	4	4	6	1	21	2	9	0	3	5	0	2	0	2	1	15	1	6	1	0	4	1	3	1	0	7	11	0	7	2	15	0	49	56	6	0	2	7	0	2	7	45	0	36	7	2	3	0	0	2	1	10	10	1	6	1	3	0	5	4	12	7	3	0
